name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review
Stunning Elevator 2 Bedroom Midtown East,67639478346,unconfirmed,Corporate Housing,Manhattan,Midtown,40.75569,-73.96679,United States,US,1,moderate,Entire home/apt,2009,113.0,23.0,30.0,1.0,2018-06-29
Brand New apt heart of Manhattan,35089981919,unconfirmed,Corporate Housing,Manhattan,Kips Bay,40.74471,-73.98027,United States,US,1,moderate,Entire home/apt,2019,848.0,170.0,30.0,4.0,2019-06-14
Brand New Executive Studio,73391531723,unconfirmed,Corporate Housing,Manhattan,Murray Hill,40.74651,-73.97868,United States,US,0,moderate,Entire home/apt,2021,248.0,50.0,30.0,3.0,2019-05-31
Prime Upper east~2BR~ newly furnished,62015902381,verified,Izi,Manhattan,Upper East Side,40.77458,-73.94769,United States,US,0,moderate,Entire home/apt,2003,307.0,61.0,30.0,0.0,
Sweet Home Away From Home,50918715046,unconfirmed,Natasha,Brooklyn,Sheepshead Bay,40.5917,-73.95536,United States,US,1,moderate,Private room,2020,1101.0,220.0,2.0,38.0,2019-06-23
Charming Upper West Studio,95025038917,unconfirmed,Jared,Manhattan,Upper West Side,40.78612,-73.97011,United States,US,0,moderate,Entire home/apt,2018,290.0,58.0,30.0,6.0,2019-05-14
"HOTEL ROOM LIKE!!!   WITH AFFORDABLE RATE!!!   ""P""",49957343667,unconfirmed,Viviana,Queens,Woodhaven,40.68654,-73.86672,United States,US,0,strict,Private room,2010,1131.0,226.0,3.0,29.0,2019-06-22
Wonderful 3 bed 1.5 baths 20 Mins to Times Square!,42065433308,unconfirmed,Sergio,Manhattan,Washington Heights,40.85081,-73.9368,United States,US,1,flexible,Entire home/apt,2013,438.0,88.0,30.0,0.0,
NYC with a view,23429437945,unconfirmed,Chris,Manhattan,Hell's Kitchen,40.76206,-73.99775,United States,US,0,moderate,Entire home/apt,2015,154.0,31.0,3.0,2.0,2019-05-19
"Private room at Roselle, in the Bronx",48030925606,unconfirmed,Massiel,Bronx,Westchester Square,40.84367,-73.84911,United States,US,0,flexible,Private room,2007,427.0,85.0,2.0,11.0,2019-06-15
紐約哥大週邊優質短租,24929928002,unconfirmed,哲緯,Manhattan,Morningside Heights,40.8058,-73.9647,United States,US,0,strict,Entire home/apt,2017,973.0,195.0,10.0,0.0,
"Newly renovated 1 bedroom, steps to Prospect Park",46823069396,unconfirmed,Melissa,Brooklyn,Windsor Terrace,40.65871,-73.9789,United States,US,0,moderate,Entire home/apt,2021,95.0,19.0,3.0,15.0,2018-12-21
Sunny bedroom in a designer apartment,31888147899,unconfirmed,Swann,Queens,Sunnyside,40.7461,-73.91983,United States,US,1,flexible,Private room,2020,338.0,68.0,3.0,79.0,2019-07-03
Affordable Modern/Luxury 2 Bedroom Apt,26356786874,unconfirmed,Gesner,Brooklyn,Bedford-Stuyvesant,40.68771,-73.92281,United States,US,1,moderate,Entire home/apt,2016,510.0,102.0,2.0,73.0,2019-06-21
Brooklyn Beautiful private room!!,87963423889,unconfirmed,Nami,Brooklyn,Crown Heights,40.67535,-73.94992,United States,US,0,flexible,Private room,2016,1019.0,204.0,2.0,1.0,2018-12-31
Sonder | Hanover Square | Cozy 1BR + Rooftop,52430370822,verified,Sonder,Manhattan,Financial District,40.70533,-74.00923,United States,US,0,flexible,Entire home/apt,2018,1133.0,227.0,29.0,1.0,2018-08-15
One Bedroom Apartment in Greenpoint,35965488770,unconfirmed,Lindsey,Brooklyn,Greenpoint,40.73556,-73.95726,United States,US,1,flexible,Entire home/apt,2007,1093.0,219.0,2.0,5.0,2019-05-12
Sonder | Hanover Square | Sun-Filled 1BR + Rooftop,15629042671,unconfirmed,Sonder,Manhattan,Financial District,40.70551,-74.00839,United States,US,1,moderate,Entire home/apt,2009,265.0,53.0,29.0,0.0,
THE PONDEROSA PALACE,48489705965,unconfirmed,B,Manhattan,Hell's Kitchen,40.76152,-73.98758,United States,US,1,moderate,Entire home/apt,2016,556.0,111.0,2.0,49.0,2019-06-25
New York City with the bird view,54898927890,unconfirmed,Luba,Manhattan,Upper East Side,40.78119,-73.95121,United States,US,1,moderate,Entire home/apt,2019,1175.0,235.0,4.0,0.0,
Private space in luxury apartment with river view,37002520332,verified,Marshall,Manhattan,Roosevelt Island,40.76811,-73.94483,United States,US,0,strict,Private room,2010,126.0,25.0,7.0,3.0,2018-08-04
Urban Place,51545199922,verified,Miller,Brooklyn,East Flatbush,40.63532,-73.94924,United States,US,1,flexible,Private room,2018,1021.0,204.0,2.0,1.0,2018-06-10
Private Modern Studio in heart of Flatbush,67075270467,unconfirmed,Ely,Brooklyn,Midwood,40.61673,-73.96491,United States,US,0,moderate,Entire home/apt,2015,50.0,10.0,2.0,23.0,2019-05-27
Sunny Room in heart of hippest Manhattan 'hood,45156821401,verified,George,Manhattan,Lower East Side,40.7213,-73.98862,United States,US,0,moderate,Private room,2008,1010.0,202.0,15.0,8.0,2019-06-16
Paradise in New York City,44197319519,verified,Shama,Manhattan,Harlem,40.82156,-73.94966,United States,US,1,flexible,Entire home/apt,2021,522.0,104.0,2.0,82.0,2019-07-06
Cozy Brooklyn Greenpoint Apt.15 min to Manhattan,93919299447,unconfirmed,Alfredo,Brooklyn,Greenpoint,40.72339,-73.94322,United States,US,1,flexible,Entire home/apt,2014,420.0,84.0,1.0,52.0,2019-07-06
Comfy Room with Private Insuite Bathroom,43668544710,verified,Diana,Brooklyn,Bedford-Stuyvesant,40.69616,-73.93438,United States,US,1,strict,Private room,2010,757.0,151.0,3.0,22.0,2019-06-24
"HOTEL ROOM LIKE!!  WITH AFFORDABLE RATE!!   ""R""",166847844,unconfirmed,Viviana,Queens,Woodhaven,40.68765,-73.865,United States,US,1,moderate,Private room,2006,805.0,161.0,3.0,24.0,2019-06-10
Amazing Brooklyn,14265208902,unconfirmed,Myrna,Brooklyn,Sheepshead Bay,40.60399,-73.94523,United States,US,1,flexible,Private room,2022,142.0,28.0,7.0,3.0,2018-08-14
Global Beat Apartment Hideaway in Manhattan,84841981240,unconfirmed,Sybilla Michelle,Manhattan,Chelsea,40.74732,-73.9999,United States,US,0,moderate,Entire home/apt,2012,621.0,124.0,2.0,0.0,
Minimalism in the heart of a great neighborhood,24389913257,verified,Josh,Manhattan,Chinatown,40.7177,-73.99246,United States,US,1,flexible,Private room,2011,700.0,140.0,3.0,1.0,2018-04-21
"1 bedroom, blocks from Central Park and subways.",67751823103,verified,Corinne,Manhattan,Upper East Side,40.77359,-73.95143,United States,US,1,strict,Entire home/apt,2014,677.0,135.0,3.0,7.0,2018-08-15
"Luxury Tribeca 1BR w/ Gym, Doorman + Roof deck by Blueground",82337480196,verified,Blueground,Manhattan,Tribeca,40.71433,-74.01073,United States,US,0,flexible,Entire home/apt,2018,501.0,100.0,30.0,0.0,
TV-PHOTO-FILM-CINEMA-ART GALLERY-MUSIC STUDIO-LOFT,95291163579,verified,David & Javier,Brooklyn,Williamsburg,40.71824,-73.95175,United States,US,1,strict,Entire home/apt,2019,215.0,43.0,1.0,9.0,2019-04-27
prime upper west Cozy Studio deal,5139101801,verified,Ofir,Manhattan,Upper West Side,40.7826,-73.98228,United States,US,1,strict,Entire home/apt,2009,403.0,81.0,30.0,0.0,
Sonder | 21 Chelsea | Charming 1BR + Rooftop,42155201753,verified,Sonder,Manhattan,Chelsea,40.74081,-73.99616,United States,US,1,strict,Entire home/apt,2006,1017.0,203.0,29.0,0.0,
Sonder | The Biltmore | Quaint Studio + Rooftop,80374901180,unconfirmed,Sonder,Manhattan,Financial District,40.70561,-74.0086,United States,US,1,strict,Entire home/apt,2020,103.0,21.0,29.0,4.0,2019-05-23
Sonder | 21 Chelsea | Elegant 1BR + Rooftop,97961637635,unconfirmed,Sonder,Manhattan,Chelsea,40.7409,-73.99596,United States,US,0,strict,Entire home/apt,2008,1114.0,223.0,29.0,0.0,
Sonder | Hanover Square | Modern 1BR + Rooftop,50821414180,unconfirmed,Sonder,Manhattan,Financial District,40.70563,-74.0078,United States,US,1,strict,Entire home/apt,2014,934.0,187.0,29.0,3.0,2019-04-30
Bright Open 2BR In Charming Greenwich Village,31469326456,verified,Kevin,Manhattan,Greenwich Village,40.72851,-74.0,United States,US,1,flexible,Entire home/apt,2009,740.0,148.0,2.0,3.0,2018-05-27
Comfortable Studio Apt in Heart of East Village,88455609171,unconfirmed,Ben,Manhattan,East Village,40.72926,-73.98456,United States,US,0,flexible,Entire home/apt,2021,858.0,172.0,1.0,25.0,2019-05-22
Sunny Room in Bed-Stuy close to everything!,34376477084,verified,Avery,Brooklyn,Bedford-Stuyvesant,40.68209,-73.95731,United States,US,1,strict,Private room,2013,558.0,112.0,7.0,11.0,2018-12-29
Pleasant Studio in FiDi by Sonder,19401899562,verified,Sonder,Manhattan,Financial District,40.70503,-74.00698,United States,US,1,strict,Entire home/apt,2018,1048.0,210.0,29.0,0.0,
"43rd Street “TIME SQUARE”
Single bed.",42208540735,unconfirmed,Taz,Manhattan,Hell's Kitchen,40.75792,-73.99172,United States,US,0,flexible,Shared room,2004,381.0,76.0,1.0,108.0,2019-06-23
Sharp 1BR in FiDi by Sonder,79770990817,unconfirmed,Sonder,Manhattan,Financial District,40.70544,-74.00641,United States,US,1,flexible,Entire home/apt,2015,506.0,101.0,29.0,0.0,
High End Hilton Club in midtown Manhattan,20769503057,unconfirmed,Armstrong,Manhattan,Midtown,40.76487,-73.97857,United States,US,1,strict,Entire home/apt,2010,141.0,28.0,1.0,9.0,2019-04-17
A Beach House in Brooklyn,3883561114,verified,Derek,Brooklyn,Bedford-Stuyvesant,40.68297,-73.95251,United States,US,1,flexible,Private room,2020,529.0,106.0,1.0,0.0,
98th St. FULL apt with positive energy!,92406677429,verified,Samara,Manhattan,East Harlem,40.78572,-73.95018,United States,US,1,flexible,Entire home/apt,2022,90.0,18.0,5.0,11.0,2019-04-24
Summer escape in Brighton Beach,31918609257,unconfirmed,Elena,Brooklyn,Brighton Beach,40.57644,-73.95551,United States,US,0,strict,Entire home/apt,2004,283.0,57.0,2.0,8.0,2019-05-17
Luxury apartment in the center of Manhattan,69407429469,verified,Paul,Manhattan,Murray Hill,40.74591,-73.97843,United States,US,1,flexible,Entire home/apt,2004,943.0,189.0,4.0,7.0,2019-02-27
Clean and Comfortable Place to Rest in NYC!,25851187064,unconfirmed,Mike,Manhattan,Harlem,40.80565,-73.95197,United States,US,0,moderate,Private room,2020,663.0,133.0,2.0,73.0,2019-06-22
Quaint Studio in FiDi by Sonder,34044322971,verified,Sonder,Manhattan,Financial District,40.70558,-74.00845,United States,US,1,moderate,Entire home/apt,2006,966.0,193.0,29.0,1.0,2019-05-05
Sonder | 21 Chelsea | Lovely 1BR + Rooftop,95971567091,verified,Sonder,Manhattan,Chelsea,40.7423,-73.99603,United States,US,1,flexible,Entire home/apt,2009,84.0,17.0,29.0,0.0,
The oriental room in Greenpoint mins to Manhattan,92965310532,verified,Jimmy,Brooklyn,Greenpoint,40.72549,-73.95574,United States,US,1,moderate,Private room,2007,383.0,77.0,1.0,68.0,2019-06-29
Private Room with En-Suite in Brooklyn Brownstone,91878986777,verified,Ian,Brooklyn,Crown Heights,40.66725,-73.95017,United States,US,0,flexible,Private room,2011,958.0,192.0,3.0,45.0,2019-06-24
Private Studio w/Bathroom & Kitchenette,54793094152,unconfirmed,Tricia,Brooklyn,Fort Greene,40.6971,-73.97316,United States,US,1,moderate,Private room,2008,618.0,124.0,2.0,1.0,2018-04-29
The Best little room in Brooklyn,59836586992,verified,Jordan,Brooklyn,Prospect Heights,40.67955,-73.97382,United States,US,1,flexible,Private room,2015,327.0,65.0,15.0,0.0,
Enjoy all of Manhattan. Big Apple! A Mini-MOMA!,42110803426,unconfirmed,Shannon,Manhattan,Harlem,40.80667,-73.95182,United States,US,1,flexible,Entire home/apt,2018,502.0,100.0,5.0,8.0,2019-04-24
"Sunlit Room in Prospect Heights, Brooklyn",56762110255,verified,Rania,Brooklyn,Crown Heights,40.67652,-73.96198,United States,US,1,moderate,Private room,2021,673.0,135.0,7.0,0.0,
NEW Perfect shared male room for a long term I,79050242043,unconfirmed,Max,Manhattan,Lower East Side,40.71113,-73.9884,United States,US,1,moderate,Shared room,2018,1028.0,206.0,30.0,0.0,
"New York Room, Beautiful Upper West Side",39345207139,unconfirmed,Allison,Manhattan,Upper West Side,40.79856,-73.97174,United States,US,0,moderate,Private room,2011,586.0,117.0,5.0,2.0,2018-05-21
Sunny Artist's Bedroom in Bushwick.,42166343071,unconfirmed,Teddy,Brooklyn,Bushwick,40.69943,-73.92192,United States,US,1,moderate,Private room,2008,138.0,28.0,2.0,16.0,2019-03-31
Anita’s Funky Master Bedroom on Ocean Parkway,76299382147,unconfirmed,Anita,Brooklyn,Kensington,40.64196,-73.97467,United States,US,0,strict,Private room,2003,1043.0,209.0,1.0,95.0,2019-07-05
Modern & Funky Brooklyn Nook,14759780955,verified,Allison,Brooklyn,Crown Heights,40.67868,-73.95541,United States,US,0,flexible,Entire home/apt,2019,171.0,34.0,2.0,2.0,2018-08-05
"Sunny private room in Red Hook, Brooklyn",16700336507,verified,Cristina,Brooklyn,Red Hook,40.67817,-74.00991,United States,US,1,moderate,Private room,2004,229.0,46.0,2.0,41.0,2019-06-08
Spacious and bright bedroom,56948398494,verified,Guilda,Manhattan,Washington Heights,40.84365,-73.93982,United States,US,1,flexible,Private room,2017,458.0,92.0,3.0,1.0,2019-01-09
Comfortable & Cozy Times Square Apt,90702916778,unconfirmed,Ben,Manhattan,Hell's Kitchen,40.76265,-73.98954,United States,US,0,strict,Entire home/apt,2008,499.0,100.0,2.0,5.0,2019-04-21
Brooklyn Apartment with Jaw-Dropping Rooftop,87328974496,unconfirmed,Molly,Brooklyn,Clinton Hill,40.68059,-73.95848,United States,US,1,moderate,Entire home/apt,2020,478.0,96.0,3.0,10.0,2019-06-13
Heart of Soho! Cute studio with clean finishes!,29187284245,unconfirmed,Ross,Manhattan,SoHo,40.72789,-74.00275,United States,US,1,strict,Entire home/apt,2016,969.0,194.0,4.0,15.0,2019-07-01
Charming Bushwick Studio,42900749682,verified,Matt,Brooklyn,Bushwick,40.69403,-73.92673,United States,US,0,strict,Entire home/apt,2014,572.0,114.0,4.0,4.0,2018-07-29
Harlem Retreat Living Room NYC,95220250041,verified,Kimberly,Manhattan,Harlem,40.80322,-73.94488,United States,US,0,strict,Shared room,2012,236.0,47.0,30.0,0.0,
Lower East Side Summer Rental,38044571509,verified,Jonathan,Manhattan,Lower East Side,40.71571,-73.98699,United States,US,0,moderate,Entire home/apt,2011,286.0,57.0,30.0,0.0,
Modern Apartment with wall-size windows,89364613844,verified,Van,Brooklyn,Flatbush,40.63033,-73.95724,United States,US,0,moderate,Entire home/apt,2006,631.0,126.0,3.0,2.0,2019-05-06
Cozy room in 2bd apartment in UES,76396789943,unconfirmed,Ameer,Manhattan,Upper East Side,40.77163,-73.94897,United States,US,1,flexible,Private room,2003,122.0,24.0,14.0,6.0,2019-06-22
summer(A套房私享一层closed to JFK&LGA&Citi Field#parking,11450963749,unconfirmed,Chang,Queens,Fresh Meadows,40.74622,-73.78297,United States,US,1,moderate,Private room,2015,802.0,160.0,1.0,35.0,2019-07-07
NEW Private room on Manhattan. Breathtaking view!,76364272864,verified,Max,Manhattan,Lower East Side,40.70988,-73.98666,United States,US,0,moderate,Private room,2016,304.0,61.0,15.0,0.0,
"Nice, cozy and fresh shared male room on Manhattan",69023692494,unconfirmed,Max,Manhattan,Lower East Side,40.71158,-73.98888,United States,US,0,strict,Shared room,2017,80.0,16.0,14.0,5.0,2019-04-10
Chateau Le Hamilton Heights,33189159538,verified,Benjamin,Manhattan,Harlem,40.82291,-73.94256,United States,US,1,strict,Entire home/apt,2019,308.0,62.0,7.0,6.0,2019-04-02
"Sunny, Modern and Trendy Getaway Spot",37371012846,unconfirmed,Kirac,Brooklyn,Williamsburg,40.71181,-73.96677,United States,US,0,moderate,Entire home/apt,2009,53.0,11.0,4.0,6.0,2019-05-20
Quiet apt in the middle of St Marks (East Village),90744968954,unconfirmed,Ahmad,Manhattan,East Village,40.72957,-73.9882,United States,US,0,moderate,Entire home/apt,2017,1074.0,215.0,7.0,12.0,2019-06-16
Inexpensive Private Room with NYC / SIUH Access #1,7051057970,unconfirmed,Amarjit S,Staten Island,Arrochar,40.59757,-74.08434,United States,US,1,strict,Private room,2021,116.0,23.0,4.0,11.0,2019-06-10
Sunny bedroom at the heart of Harlem,36930334715,unconfirmed,Rebeca,Manhattan,East Harlem,40.80552,-73.94031,United States,US,0,moderate,Private room,2015,518.0,104.0,5.0,16.0,2019-06-29
"Private, big, clean cozy room, in TIMES SQUARE",65343207131,unconfirmed,Shir,Manhattan,Theater District,40.75885,-73.98147,United States,US,1,flexible,Private room,2006,460.0,92.0,3.0,25.0,2018-11-03
"15 min to NYC, beautiful bedroom 5 mins from LGA",31533876068,unconfirmed,Pamela,Queens,East Elmhurst,40.75906,-73.87771,United States,US,0,flexible,Private room,2010,661.0,132.0,1.0,4.0,2019-01-04
Cozy 1BR in Historic Harlem,66224876928,verified,Hunter,Manhattan,Harlem,40.816,-73.94127,United States,US,1,flexible,Entire home/apt,2013,938.0,188.0,3.0,3.0,2018-10-14
Best location Greenpoint apartment,80318363833,unconfirmed,Tiffany,Brooklyn,Greenpoint,40.72874,-73.95621,United States,US,1,moderate,Entire home/apt,2003,511.0,102.0,4.0,2.0,2018-06-07
Quiet Space,73597981823,unconfirmed,Kai,Brooklyn,Bedford-Stuyvesant,40.6977,-73.94781,United States,US,1,flexible,Private room,2014,76.0,15.0,2.0,10.0,2018-10-11
Bright and Cozy Studio in Murray Hill,27895029192,verified,Carolyn,Manhattan,Murray Hill,40.74681,-73.97629,United States,US,0,strict,Entire home/apt,2007,518.0,104.0,2.0,17.0,2018-12-26
"Angie Suite  in the Heights
Se habla Español",33426118837,unconfirmed,Angie,Manhattan,Washington Heights,40.85054,-73.93956,United States,US,0,moderate,Private room,2014,217.0,43.0,3.0,13.0,2019-06-07
Sunlit and Plant filled Williamsburg Railroad Apt,67013956581,verified,Pia,Brooklyn,Williamsburg,40.70743,-73.94206,United States,US,0,strict,Entire home/apt,2014,893.0,179.0,4.0,6.0,2019-05-28
"Sisters Suite in theHeights
Se habla Español",20398157590,unconfirmed,Angie,Manhattan,Washington Heights,40.85264,-73.93976,United States,US,1,flexible,Private room,2011,1122.0,224.0,3.0,6.0,2019-06-25
room in house,40978970780,unconfirmed,Andy,Brooklyn,Sunset Park,40.64499,-74.02437,United States,US,0,strict,Private room,2006,122.0,24.0,30.0,0.0,
"Cosy,Elegant 1 Bedroom Apartment in heart of UES!",27731161219,verified,C-Van,Manhattan,Upper East Side,40.77883,-73.95528,United States,US,1,flexible,Entire home/apt,2022,56.0,11.0,3.0,10.0,2019-06-15
Wild West Retreat in The Heart of Brooklyn,42672126956,unconfirmed,Izaac,Brooklyn,Bedford-Stuyvesant,40.68823,-73.95863,United States,US,0,strict,Private room,2012,634.0,127.0,2.0,34.0,2019-06-25
"Best Location, Cozy Modern Room in Midtown",11036152821,verified,Gareth,Manhattan,Midtown,40.7496,-73.98244,United States,US,1,strict,Entire home/apt,2011,738.0,148.0,6.0,35.0,2019-06-30
"Brooklyn, New York",339210294,unconfirmed,Felicia,Brooklyn,Bedford-Stuyvesant,40.68401,-73.9244,United States,US,0,moderate,Entire home/apt,2014,1126.0,225.0,3.0,44.0,2019-06-20
Shared male room on Manhattan.Breathtaking view II,67979626962,unconfirmed,Max,Manhattan,Lower East Side,40.71098,-73.98696,United States,US,0,flexible,Shared room,2017,1099.0,220.0,14.0,0.0,
In the heart of the West Village- cute apartment!,15080431511,unconfirmed,Jennifer,Manhattan,West Village,40.73608,-73.99997,United States,US,0,moderate,Entire home/apt,2018,1179.0,236.0,3.0,18.0,2019-07-06
Beautiful Gut Renovated NYC 1 Bedroom LOFT,40527622698,unconfirmed,Rachael,Manhattan,Midtown,40.7452,-73.98427,United States,US,1,moderate,Entire home/apt,2019,892.0,178.0,1.0,16.0,2019-06-30
"Cozy Mott Haven-Steps from Subway, Total Privacy",86843338447,unconfirmed,Samuel,Bronx,Mott Haven,40.81011,-73.92166,United States,US,1,moderate,Entire home/apt,2007,1055.0,211.0,3.0,62.0,2019-07-02
Great Small Room 15 Minutes From Time Square,42052787460,verified,Emad,Manhattan,Harlem,40.82336,-73.95596,United States,US,1,moderate,Private room,2018,574.0,115.0,2.0,122.0,2019-07-07
"Large, Bright Midtown East 1 BR in Luxury building by Blueground",51897681837,verified,Blueground,Manhattan,Kips Bay,40.74112,-73.98009,United States,US,0,strict,Entire home/apt,2021,129.0,26.0,30.0,0.0,
Cozy Bed-Stuy Getaway!,17889723052,unconfirmed,Karli,Brooklyn,Bedford-Stuyvesant,40.69199,-73.94426,United States,US,1,strict,Private room,2021,523.0,105.0,3.0,6.0,2019-03-16
WALL STREET AMAZING APARTMENT,64055290323,verified,Andrew,Manhattan,Financial District,40.70617,-74.0112,United States,US,0,flexible,Entire home/apt,2007,1013.0,203.0,15.0,4.0,2018-12-30
3 bedrooms 2 baths Brooklyn Home 15m to Manhattan!,52213928536,verified,Shirley,Brooklyn,Bushwick,40.69571,-73.93144,United States,US,0,flexible,Entire home/apt,2007,871.0,174.0,3.0,50.0,2019-06-24
ELEXEY'S COMFORT.,68861187207,verified,Michelle,Queens,St. Albans,40.70389,-73.75782,United States,US,0,moderate,Private room,2009,729.0,146.0,3.0,58.0,2019-06-24
1 BR Free in Bright Open Greenwich Village 2BR Apt,89728912802,verified,Kevin,Manhattan,Greenwich Village,40.72839,-73.99983,United States,US,1,strict,Private room,2017,359.0,72.0,3.0,2.0,2018-05-22
"Heaven in New York, Natural Room",28537407052,verified,Cynthia,Bronx,Edenwald,40.88634,-73.83431,United States,US,1,moderate,Private room,2021,369.0,74.0,3.0,19.0,2019-05-20
"Relaxing, modern Upper East Side Apt with terrace",41173579090,verified,Carrie,Manhattan,Upper East Side,40.77942,-73.94772,United States,US,1,strict,Entire home/apt,2008,308.0,62.0,1.0,16.0,2018-10-27
THE COOLEST BEDROOM/APARTMENT IN HARLEM.,61259655846,unconfirmed,Maxime C And Winie C,Manhattan,Harlem,40.81639,-73.94223,United States,US,0,moderate,Private room,2004,581.0,116.0,2.0,49.0,2019-06-13
Sunny & Beautiful 1br apt in heart of Lower East.,9358846840,unconfirmed,Janey,Manhattan,Lower East Side,40.71432,-73.9887,United States,US,1,moderate,Entire home/apt,2019,383.0,77.0,4.0,32.0,2019-07-02
Classy Antique Private Bedroom 20-minutes to Ferry,93470518221,verified,Thelma,Staten Island,Randall Manor,40.62947,-74.12991,United States,US,0,strict,Private room,2003,1135.0,227.0,2.0,4.0,2019-07-01
TWO BEDROOM UNICORN IN THE HEART OF WILLIAMSBURG,72161555908,verified,Usamah,Brooklyn,Greenpoint,40.7203,-73.94644,United States,US,1,flexible,Entire home/apt,2018,226.0,45.0,3.0,2.0,2018-12-14
Spacious sunlit room in Astoria,25207869274,unconfirmed,Lucy,Queens,Ditmars Steinway,40.77496,-73.91172,United States,US,1,flexible,Private room,2006,404.0,81.0,15.0,12.0,2019-01-01
Heart of long island City,74909770196,verified,Amira,Queens,Long Island City,40.74664,-73.95039,United States,US,0,flexible,Private room,2008,1143.0,229.0,1.0,10.0,2019-07-06
Cozy home,88804079214,unconfirmed,Freddy,Brooklyn,Midwood,40.60909,-73.97155,United States,US,0,flexible,Entire home/apt,2022,122.0,24.0,2.0,26.0,2019-07-01
Clean and charming room for rent.,31690731317,unconfirmed,Nicole,Queens,Rego Park,40.72795,-73.86048,United States,US,1,strict,Private room,2005,1069.0,214.0,3.0,1.0,2019-05-24
Huge light filled bedroom in trendy Williamsburg,6282708934,unconfirmed,Samia,Brooklyn,Williamsburg,40.71747,-73.96045,United States,US,1,strict,Private room,2012,188.0,38.0,4.0,4.0,2019-06-17
Skyscraper View - Loving it!,81715471985,verified,Christelle,Manhattan,Financial District,40.7069,-74.01388,United States,US,1,strict,Private room,2013,373.0,75.0,2.0,6.0,2018-08-26
Beautiful 2bdr apt in Brooklyn near to everything.,23513117096,unconfirmed,Anna,Brooklyn,Fort Hamilton,40.61257,-74.03598,United States,US,0,flexible,Entire home/apt,2005,968.0,194.0,5.0,31.0,2019-06-02
Modern and spacious 2 bedroom in Manhattan,8159348426,verified,Erika,Manhattan,East Village,40.72189,-73.98219,United States,US,1,moderate,Entire home/apt,2013,512.0,102.0,1.0,44.0,2019-05-25
BEAUTIFUL GREAT BEDROOM IN HARLEM,51000565775,verified,Maxime C And Winie C,Manhattan,Harlem,40.81639,-73.94414,United States,US,1,flexible,Private room,2019,218.0,44.0,2.0,40.0,2019-06-26
Charming Cozy 1 bed-room in the heart of Bed-Stuy,67254236839,unconfirmed,Betty,Brooklyn,Bedford-Stuyvesant,40.69298,-73.94188,United States,US,1,strict,Entire home/apt,2010,408.0,82.0,3.0,6.0,2019-06-08
ENJOY NYC IN  1 BDRM CONDO HEART OF MIDTOWN,17079982322,unconfirmed,Deborah,Manhattan,Theater District,40.76205,-73.982,United States,US,0,flexible,Entire home/apt,2011,1094.0,219.0,30.0,0.0,
"New Condo 2 bedrms /1,5bath elevator & balcony",70499550910,unconfirmed,Ha,Manhattan,Chinatown,40.71409,-73.99434,United States,US,1,strict,Entire home/apt,2017,862.0,172.0,1.0,2.0,2018-10-07
"Perfect Location, surrounded with all your need",37015541324,verified,Night,Queens,Ridgewood,40.70022,-73.90025,United States,US,0,moderate,Entire home/apt,2004,430.0,86.0,2.0,38.0,2019-06-23
Charming Art Deco Apartment on Central Park,83098015174,unconfirmed,Tony,Manhattan,Upper West Side,40.78925,-73.96757,United States,US,0,flexible,Entire home/apt,2019,568.0,114.0,6.0,21.0,2019-06-30
Two Bridges Private Escape,35137084908,verified,Marcel,Manhattan,Lower East Side,40.71152,-73.99166,United States,US,1,moderate,Private room,2021,745.0,149.0,30.0,4.0,2019-03-31
Private Bedroom in a Modern Building,92689244100,unconfirmed,Van,Brooklyn,Flatbush,40.63076,-73.95851,United States,US,0,strict,Private room,2018,162.0,32.0,1.0,19.0,2018-12-27
1 Bedroom Cozy Apartment,24828230509,unconfirmed,Maria,Staten Island,Great Kills,40.54878,-74.13908,United States,US,0,moderate,Entire home/apt,2018,608.0,122.0,30.0,3.0,2019-02-11
Bushwick Brooklyn Private Apartment 15min. To NYC!,55317919358,verified,Kamaran,Brooklyn,Bedford-Stuyvesant,40.68392,-73.91324,United States,US,1,moderate,Entire home/apt,2017,378.0,76.0,2.0,49.0,2019-07-01
Private Room in spacious TriBeCa Loft,74896985920,verified,Karan,Manhattan,Tribeca,40.71554,-74.00645,United States,US,0,moderate,Private room,2011,699.0,140.0,2.0,2.0,2018-05-29
STUDIO.STYLE.BEDROOM+PRIVATE.BATHROOM+TOP.LOCATION,35178695499,unconfirmed,Mateo,Brooklyn,Crown Heights,40.67357,-73.95467,United States,US,1,flexible,Private room,2009,684.0,137.0,2.0,52.0,2019-07-04
Little Secret,31796844821,verified,Thomas,Manhattan,Upper West Side,40.77705,-73.98118,United States,US,0,moderate,Private room,2007,1108.0,222.0,2.0,81.0,2019-07-07
Quaint NYC studio- tree lined St.- great location!,79769476444,unconfirmed,Omar,Manhattan,Midtown,40.7446,-73.98399,United States,US,1,moderate,Entire home/apt,2020,89.0,18.0,1.0,2.0,2018-07-02
White Cozy Studio Apartment in Brooklyn,6240825659,verified,Daria,Brooklyn,Midwood,40.61962,-73.96323,United States,US,0,moderate,Entire home/apt,2017,703.0,141.0,2.0,8.0,2019-06-24
